X,Y,Z
7.197,32.566,208.481
7.197,32.666,208.481
7.197,32.766,208.481
7.197,32.965,208.481
7.197,33.165,208.481
7.301,33.309,208.759
7.301,33.409,208.759
7.301,33.609,208.759
7.301,33.709,208.759
7.301,33.809,208.759
7.301,33.91,208.759
7.301,34.01,208.759
7.301,34.11,208.759
7.301,34.21,208.759
7.301,34.31,208.759
7.405,34.456,209.037
7.405,34.656,209.037
7.405,34.756,209.037
7.405,34.956,209.037
7.405,35.157,209.037
7.405,35.257,209.037
7.405,35.357,209.037
7.405,35.457,209.037
7.405,35.557,209.037
7.405,35.658,209.037
7.405,35.758,209.037
7.405,35.858,209.037
7.405,35.958,209.037
7.405,36.058,209.037
7.405,36.158,209.037
7.405,36.259,209.037
7.405,36.359,209.037
7.405,36.459,209.037
7.405,36.559,209.037
7.405,36.659,209.037
7.405,36.759,209.037
7.405,36.86,209.037
7.405,36.96,209.037
7.405,37.06,209.037
7.405,37.16,209.037
7.405,37.26,209.037
7.405,37.36,209.037
7.405,37.46,209.037
7.405,37.561,209.037
7.405,37.661,209.037
7.405,37.761,209.037
7.405,37.961,209.037
7.405,38.061,209.037
7.51,38.313,209.317
7.51,38.514,209.317
7.51,38.614,209.317
7.51,38.714,209.317
7.51,38.814,209.317
7.51,38.915,209.317
7.51,39.015,209.317
7.51,39.115,209.317
7.51,39.216,209.317
7.405,39.263,209.037
7.51,39.316,209.317
7.665,1.469,204.397
7.765,1.471,204.664
7.765,1.569,204.664
7.765,1.667,204.664
7.765,1.765,204.664
7.765,1.863,204.664
7.765,1.961,204.664
7.765,2.059,204.664
7.765,2.157,204.664
7.765,2.256,204.664
7.765,2.354,204.664
7.765,2.452,204.664
7.765,2.55,204.664
7.765,2.648,204.664
7.765,2.746,204.664
7.765,2.844,204.664
7.765,2.942,204.664
7.765,3.04,204.664
7.765,3.236,204.664
7.765,3.334,204.664
7.765,3.432,204.664
7.866,3.437,204.932
7.866,3.535,204.932
7.866,3.731,204.932
7.866,3.928,204.932
7.866,4.026,204.932
7.866,4.124,204.932
7.866,4.222,204.932
7.866,4.321,204.932
7.866,4.419,204.932
7.866,4.517,204.932
7.866,4.615,204.932
7.866,4.713,204.932
7.866,4.812,204.932
7.866,4.91,204.932
7.866,5.008,204.932
7.866,5.106,204.932
7.866,5.204,204.932
7.866,5.303,204.932
7.866,5.401,204.932
7.866,5.499,204.932
7.966,5.506,205.201
7.966,5.604,205.201
7.966,5.703,205.201
7.966,5.801,205.201
7.966,5.899,205.201
7.966,5.998,205.201
7.966,6.194,205.201
7.966,6.293,205.201
7.966,6.391,205.201
7.966,6.489,205.201
7.966,6.588,205.201
7.966,6.686,205.201
7.966,6.784,205.201
7.966,6.883,205.201
7.966,6.981,205.201
7.966,7.079,205.201
7.966,7.276,205.201
8.068,7.384,205.47
8.068,7.581,205.47
8.068,7.679,205.47
8.068,7.778,205.47
8.068,7.876,205.47
8.068,7.975,205.47
8.068,8.073,205.47
8.068,8.172,205.47
8.068,8.27,205.47
8.068,8.368,205.47
8.068,8.467,205.47
8.068,8.565,205.47
8.068,8.664,205.47
8.068,8.861,205.47
8.068,9.058,205.47
8.068,9.156,205.47
8.068,9.353,205.47
8.169,9.464,205.74
8.169,9.562,205.74
8.169,9.661,205.74
8.169,9.76,205.74
8.169,9.858,205.74
8.169,9.957,205.74
8.169,10.055,205.74
8.169,10.154,205.74
8.169,10.253,205.74
8.169,10.45,205.74
8.169,10.548,205.74
8.27,10.76,206.011
8.27,10.957,206.011
8.27,11.154,206.011
8.27,11.253,206.011
8.27,11.352,206.011
8.169,11.435,205.74
8.169,11.534,205.74
8.169,11.83,205.74
8.169,12.027,205.74
8.169,12.126,205.74
8.27,12.339,206.011
8.27,12.536,206.011
8.27,12.635,206.011
8.27,12.734,206.011
8.27,12.833,206.011
8.27,12.931,206.011
8.27,13.03,206.011
8.27,13.129,206.011
8.27,13.227,206.011
8.27,13.326,206.011
8.27,13.425,206.011
8.27,13.523,206.011
8.27,13.622,206.011
8.27,13.721,206.011
8.27,13.82,206.011
8.27,13.918,206.011
8.27,14.017,206.011
8.27,14.116,206.011
8.372,14.134,206.283
8.372,14.233,206.283
8.372,14.332,206.283
8.372,14.431,206.283
8.372,14.53,206.283
8.372,14.629,206.283
8.372,14.727,206.283
8.372,14.826,206.283
8.372,14.925,206.283
8.372,15.024,206.283
8.372,15.123,206.283
8.372,15.222,206.283
8.372,15.32,206.283
8.372,15.419,206.283
8.372,15.518,206.283
8.372,15.617,206.283
8.372,15.716,206.283
8.372,15.815,206.283
8.372,16.012,206.283
8.474,16.231,206.555
8.474,16.33,206.555
8.474,16.528,206.555
8.474,16.627,206.555
8.474,16.726,206.555
8.474,16.825,206.555
8.474,16.924,206.555
8.474,17.023,206.555
8.474,17.122,206.555
8.474,17.221,206.555
8.474,17.32,206.555
8.474,17.419,206.555
8.474,17.518,206.555
8.474,17.617,206.555
8.474,17.716,206.555
8.474,17.815,206.555
8.474,17.914,206.555
8.474,18.013,206.555
8.474,18.112,206.555
8.474,18.211,206.555
8.474,18.31,206.555
8.474,18.508,206.555
8.577,18.532,206.828
8.577,18.929,206.828
8.577,19.028,206.828
8.577,19.127,206.828
8.577,19.226,206.828
8.577,19.325,206.828
